Food Item,Serving size,Oxalate Value
reese's puffs,3/4 cup,8mg
refried beans,1/2 cup,16mg
rhubarb,1/2 cup,541mg
rice bran,1 cup,281mg
rice cake,1 cake,4mg
rice chex,1 1/4 cup,4mg
rice dream,1 cup,13mg
rice krispies,1 1/4 cup,4mg
rice krispy treat,1 bar,1mg
rice pudding,1/2 cup,2mg
ritz crackers,5 crackers,3mg
romaine lettuce,1 cup,0mg
rutabaga,1/2 cup mashed,31mg
rye bread,1 slice,7mg
salmon (all types),4 oz,0mg
salsa,1 Tbs,1mg
salt,1 tsp,0mg
saltines,1 cracker,1mg
sardines,1 can or 3.75oz,0mg
sauerkraut,1/2 cup,1mg
scallions,1/2 cup,1mg
sea vegetables,1 cup,3mg
sherbert,1/2 cup,0mg
shortening,1 tsp,0mg
shrimp,3 oz,0mg
smacks,3/4 cup,3mg
smart start,1 cup,15mg
snack cakes- crème filled,1 cake,3mg
sodas (all types),8 oz,0mg
sour cream,1 Tbs,0mg
soy burger,3.5oz,12mg
soy flour,1 cup,94mg
soy flour,,94mg
soy milk,1 Cup,20mg
soy protein isolate,1 oz,27mg
soy sauce,1 Tbs,3mg
soybeans,1 cup,96mg
spaghetti,1 cup cooked,11mg
special k,1 cup,3mg
special k low carb,1/2 Cup,35mg
special k red berries,1 cup,2mg
"spinach, cooked",1/2 cup,755mg
"spinach, raw",1 cup,656mg
spoonsize shredded wheat,1 cup,45mg
stevia sweetner,1 tsp,42mg
strawberries,1/2 cup,2mg
string beans,1/2 cup,9mg
stuffing,1 cup,36mg
sugar,1 tsp,0mg
sunflower seeds,1 cup,12mg
sweet potatoes,1 cup,28mg
sweet rolls low fat,1 pastry,13mg
sweet whey dried,1 tbs,0mg
sweet whey fluid,1 cup,1mg
sweetened instant iced tea,1 cup,0mg
swordfish,1 piece,0mg
tacos,1 small taco,12mg
tahini,1 Tbs,16mg
tangerine,1 fruit,10mg
tapioca pudding,1/2 cup,0mg
"tea, brewed",1 cup,14mg
team cheerios,1 cup,6mg
toasted oatmeal,1 oz,6mg
tofu,3.5oz,13mg
tomato,1 med whole,7mg
